,confidence_list
218,31.696996688842773
219,32.258934020996094
220,30.624542236328125
222,32.521240234375
223,31.699092864990234
224,29.959287643432617
225,31.944427490234375
226,30.67646598815918
228,31.59920310974121
229,32.40058517456055
230,30.129959106445312
231,32.2668571472168
232,31.17808723449707
233,30.3554744720459
234,32.82327651977539
235,31.249088287353516
236,32.897857666015625
237,31.951322555541992
238,30.53838348388672
239,32.18153381347656
240,30.266250610351562
241,32.343849182128906
242,30.596126556396484
245,31.75602912902832
246,31.45465087890625
248,29.49968910217285
249,31.952938079833984
250,31.983070373535156
251,30.31814193725586
253,31.626861572265625
254,31.79606056213379
255,28.711645126342773
256,32.21729278564453
257,32.464805603027344
258,32.48866653442383
259,32.66617202758789
260,31.677640914916992
261,30.809993743896484
262,31.811349868774414
265,30.472442626953125
266,31.711593627929688
267,32.10346603393555
268,32.053932189941406
269,32.65825653076172
270,30.442630767822266
271,31.400737762451172
272,31.715131759643555
274,31.225542068481445
275,31.562984466552734
276,32.50944900512695
277,31.427797317504883
278,32.75849914550781
280,31.587661743164062
281,31.877635955810547
282,31.524534225463867
283,31.380374908447266
284,32.054710388183594
285,31.603683471679688
286,29.861591339111328
287,31.262462615966797
288,32.214935302734375
289,32.284488677978516
291,32.153602600097656
293,30.575960159301758
294,30.80423355102539
295,31.71770477294922
296,31.496482849121094
297,30.98983383178711
298,30.493694305419922
299,31.998023986816406
300,32.122581481933594
302,30.271554946899414
303,31.323123931884766
304,31.901166915893555
305,32.466163635253906
306,31.21656608581543
307,30.584819793701172
308,31.84593963623047
309,31.96554946899414
310,31.618473052978516
311,31.680606842041016
312,32.16788864135742
313,32.21159362792969
314,29.95191192626953
316,31.739482879638672
317,32.08942413330078
319,32.26970291137695
320,32.31507873535156
321,32.048133850097656
322,32.47178268432617
323,31.455686569213867
324,30.610305786132812
325,32.40155029296875
326,32.117034912109375
327,30.803359985351562
328,30.77758026123047
329,32.48515319824219
330,31.391447067260742
331,31.66545867919922
332,31.046838760375977
333,31.581356048583984
334,32.04066848754883
336,32.298919677734375
338,31.19189453125
340,31.499797821044922
341,30.88823699951172
342,32.33993148803711
345,32.449974060058594
346,31.42650604248047
347,31.287761688232422
348,30.65738868713379
349,31.418113708496094
350,31.565155029296875
351,32.513885498046875
352,31.33636474609375
354,31.65240478515625
355,32.45153045654297
356,32.03343963623047
357,29.660449981689453
358,31.491840362548828
359,31.537113189697266
361,31.825546264648438
362,32.09962463378906
363,21.973146438598633
364,31.9470157623291
365,31.733627319335938
368,32.01753234863281
369,30.551624298095703
370,32.10231399536133
371,31.97886848449707
372,32.25555419921875
373,30.31138801574707
374,32.59678649902344
375,31.462182998657227
376,31.675506591796875
377,31.780935287475586
379,30.663602828979492
380,33.002357482910156
381,31.282575607299805
383,31.823732376098633
384,31.287567138671875
385,32.57398986816406
386,31.473339080810547
387,30.897275924682617
388,32.20502471923828
389,32.531944274902344
390,31.986295700073242
391,31.73788070678711
392,31.26743507385254
394,31.354555130004883
396,31.35087013244629
398,31.238666534423828
399,31.833139419555664
400,30.890687942504883
401,30.244247436523438
402,32.47502517700195
403,29.781641006469727
404,30.65553092956543
405,31.584875106811523
406,32.48463439941406
407,31.640010833740234
408,30.92736053466797
409,31.64810562133789
410,31.02351188659668
412,31.560585021972656
413,30.222253799438477
414,31.960948944091797
415,30.38211441040039
416,31.470504760742188
417,31.607513427734375
418,32.32917785644531
419,31.4800968170166
420,32.41747283935547
421,32.315582275390625
422,32.22100830078125
424,31.792766571044922
425,31.971757888793945
426,29.994789123535156
427,33.07135772705078
428,31.46359634399414
429,32.06820297241211
430,32.075923919677734
431,31.380739212036133
432,29.70462417602539
433,31.494779586791992
434,32.011722564697266
435,31.586933135986328
436,31.618202209472656
438,32.407623291015625
439,31.750202178955078
441,31.461965560913086
442,32.433738708496094
444,32.20659255981445
445,31.71950912475586
446,32.26356506347656
447,30.912120819091797
448,32.37805938720703
